"ledger_id"	"file"	"scope_kib"	"auto_selected_modes"	"auto_archive_bytes"	"oracle_archive_bytes"	"auto_gap_bytes"
"hybridzip-r2-currenthash-cc6d-20260827-r2"	"dickens"	"32"	"paq8px-detected-sse"	"9598"	"9598"	"0"
"hybridzip-r2-currenthash-cc6d-20260827-r2"	"mozilla"	"32"	"paq8px-detected-sse"	"6256"	"6256"	"0"
"hybridzip-r2-currenthash-cc6d-20260827-r2"	"mr"	"32"	"paq8px-generic-sse"	"5167"	"5167"	"0"
"hybridzip-r2-currenthash-cc6d-20260827-r2"	"nci"	"32"	"paq8px-detected-sse"	"1341"	"1341"	"0"
"hybridzip-r2-currenthash-cc6d-20260827-r2"	"ooffice"	"32"	"paq8px-generic-sse"	"8097"	"8097"	"0"
"hybridzip-r2-currenthash-cc6d-20260827-r2"	"osdb"	"32"	"paq8px-generic-sse"	"11420"	"11420"	"0"
"hybridzip-r2-currenthash-cc6d-20260827-r2"	"reymont"	"32"	"paq8px-detected-sse"	"5679"	"5679"	"0"
"hybridzip-r2-currenthash-cc6d-20260827-r2"	"samba"	"32"	"paq8px-generic-sse"	"7956"	"7956"	"0"
"hybridzip-r2-currenthash-cc6d-20260827-r2"	"sao"	"32"	"paq8px-generic-sse"	"18805"	"18805"	"0"
"hybridzip-r2-currenthash-cc6d-20260827-r2"	"webster"	"32"	"paq8px-detected-sse"	"9258"	"9258"	"0"
"hybridzip-r2-currenthash-cc6d-20260827-r2"	"x-ray"	"32"	"paq8px-generic-sse"	"14702"	"14702"	"0"
"hybridzip-r2-currenthash-cc6d-20260827-r2"	"xml"	"32"	"paq8px-generic-sse"	"1441"	"1441"	"0"
