file	scope_kib	input_bytes	input_sha256	category	shortlist_modes	shortlist_archive_bytes	oracle_archive_bytes	regret_bytes	oracle_winner_modes	winner_recalled
dickens	32	32768	FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31	text	stored;zstd;paq8px-similarity-sse;paq8px-detected-sse;ppmd7;ppmd8;brotli-text;bwt-zstd	9598	9598	0	paq8px-detected-sse	True
mozilla	32	32768	9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB	numeric	stored;zstd;paq8px-similarity-sse;paq8px-detected-sse;fse;lzma;delta-zstd;shuffle-zstd	6256	6256	0	paq8px-detected-sse	True
mr	32	32768	3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A	numeric	stored;zstd;paq8px-similarity-sse;paq8px-detected-sse;fse;lzma;delta-zstd;shuffle-zstd	5189	5167	22	paq8px-generic-sse	False
nci	32	32768	0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79	text	stored;zstd;paq8px-similarity-sse;paq8px-detected-sse;ppmd7;ppmd8;brotli-text;bwt-zstd	1341	1341	0	paq8px-detected-sse	True
ooffice	32	32768	2ACF9B4CAAEAC5814CDFEF0FA48A5ECE857C847DBDB7B44EEAB95CA3C098921C	x86	stored;zstd;paq8px-similarity-sse;paq8px-detected-sse;fse;lzma;x86-bcj-zstd;bcj2-zstd	8165	8097	68	paq8px-generic-sse	False
osdb	32	32768	03B2C20B777682CD960BCD893D7A4463161D9C0200FD1708B2EFAE32A259D0B7	text	stored;zstd;paq8px-similarity-sse;paq8px-detected-sse;ppmd7;ppmd8;brotli-text;bwt-zstd	11442	11420	22	paq8px-generic-sse	False
reymont	32	32768	9D5E4B9340C2260DAE7DDB01B3EDA58236FF2DE5E1FF4D56767AA840B6FB1A87	text	stored;zstd;paq8px-similarity-sse;paq8px-detected-sse;ppmd7;ppmd8;brotli-text;bwt-zstd	5679	5679	0	paq8px-detected-sse	True
samba	32	32768	9C4F5BEE544E4531E4946E62F796987418B4526911C34877EF282F14DD57AD12	text	stored;zstd;paq8px-similarity-sse;paq8px-detected-sse;ppmd7;ppmd8;brotli-text;bwt-zstd	7978	7956	22	paq8px-generic-sse	False
sao	32	32768	95677430CAD4F000506BC5EE22815C3F4E13D64B477ED506B78D5D9ACFB50CCD	generic	stored;zstd;paq8px-similarity-sse;paq8px-detected-sse;fse;lzma;ppmd7;ppmd8	18827	18805	22	paq8px-generic-sse	False
webster	32	32768	774D224695AF4057353F72602BB96CD2AFEEA059AC7737535645F11596FCA85E	text	stored;zstd;paq8px-similarity-sse;paq8px-detected-sse;ppmd7;ppmd8;brotli-text;bwt-zstd	9258	9258	0	paq8px-detected-sse	True
x-ray	32	32768	10511AA63DFBD9C0DDBFEFE36068740103D4BA1116E214154A0772057D7E9314	numeric	stored;zstd;paq8px-similarity-sse;paq8px-detected-sse;fse;lzma;delta-zstd;shuffle-zstd	14724	14702	22	paq8px-generic-sse	False
xml	32	32768	C2F7F129956F8D6FC3D0E3595D93F98D5270B6F5BC4AB5E70F45867822EFDD71	text	stored;zstd;paq8px-similarity-sse;paq8px-detected-sse;ppmd7;ppmd8;brotli-text;bwt-zstd	1463	1441	22	paq8px-generic-sse	False
