"file","scope_kib","input_bytes","input_sha256","mode","mode_id","complete_archive_bytes","archive_sha256","decoded_sha256","codec_sha256","source_package"
"dickens","32","32768","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","stored","0","32828","19406D5A13191DC1D4E56637C6684E7053C44E7801F1E546ECE838B29E2C1E34","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","E:\MIXER\hybridzip\results\experiments\hybridzip-r2-forced-oracle-current-320dd1b-stored"
"mozilla","32","32768","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","stored","0","32828","F1541EF27D18139AAB6447C78521BF7BE0159560604C246006A8550CE66E62F1","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","E:\MIXER\hybridzip\results\experiments\hybridzip-r2-forced-oracle-current-320dd1b-stored"
"mr","32","32768","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A","stored","0","32828","5AB3330F5C17EA50B3CB1B77D70778811DD9FC49C4D8E628360B68C1C33836C0","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","E:\MIXER\hybridzip\results\experiments\hybridzip-r2-forced-oracle-current-320dd1b-stored"
"nci","32","32768","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79","stored","0","32828","6CB8D24BA19B72E0EB0885017B1FE521C018B6A43A8A833438D841A70173B524","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","E:\MIXER\hybridzip\results\experiments\hybridzip-r2-forced-oracle-current-320dd1b-stored"
"ooffice","32","32768","2ACF9B4CAAEAC5814CDFEF0FA48A5ECE857C847DBDB7B44EEAB95CA3C098921C","stored","0","32828","0957AFB1F341D548E1656547AF3B8B2E529525B27624C15F384BBC55D2ADA91C","2ACF9B4CAAEAC5814CDFEF0FA48A5ECE857C847DBDB7B44EEAB95CA3C098921C","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","E:\MIXER\hybridzip\results\experiments\hybridzip-r2-forced-oracle-current-320dd1b-stored"
"osdb","32","32768","03B2C20B777682CD960BCD893D7A4463161D9C0200FD1708B2EFAE32A259D0B7","stored","0","32828","69F13AE04635F76C04BBBB34A359CCD8A684AD5C306731CACAA48068916A0BD5","03B2C20B777682CD960BCD893D7A4463161D9C0200FD1708B2EFAE32A259D0B7","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","E:\MIXER\hybridzip\results\experiments\hybridzip-r2-forced-oracle-current-320dd1b-stored"
"reymont","32","32768","9D5E4B9340C2260DAE7DDB01B3EDA58236FF2DE5E1FF4D56767AA840B6FB1A87","stored","0","32828","39AD68509BB04A3058DF5DDAA481FA5BE428342E15C71BE2B5413B9DB374C7FA","9D5E4B9340C2260DAE7DDB01B3EDA58236FF2DE5E1FF4D56767AA840B6FB1A87","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","E:\MIXER\hybridzip\results\experiments\hybridzip-r2-forced-oracle-current-320dd1b-stored"
"samba","32","32768","9C4F5BEE544E4531E4946E62F796987418B4526911C34877EF282F14DD57AD12","stored","0","32828","04AEF62DDDD619683FE64B7F55C1B77EA1D355A73F55414D39204850D1CFF5CD","9C4F5BEE544E4531E4946E62F796987418B4526911C34877EF282F14DD57AD12","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","E:\MIXER\hybridzip\results\experiments\hybridzip-r2-forced-oracle-current-320dd1b-stored"
"sao","32","32768","95677430CAD4F000506BC5EE22815C3F4E13D64B477ED506B78D5D9ACFB50CCD","stored","0","32828","35174CE8933D0091B2F346F1EBB7EEF59DF905C46761BA4E189509CB32247DB4","95677430CAD4F000506BC5EE22815C3F4E13D64B477ED506B78D5D9ACFB50CCD","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","E:\MIXER\hybridzip\results\experiments\hybridzip-r2-forced-oracle-current-320dd1b-stored"
"webster","32","32768","774D224695AF4057353F72602BB96CD2AFEEA059AC7737535645F11596FCA85E","stored","0","32828","B9D421221A0B324FAFEBE4E646446C5B634AE16B4EBBCE65D8CBBD5809264BD0","774D224695AF4057353F72602BB96CD2AFEEA059AC7737535645F11596FCA85E","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","E:\MIXER\hybridzip\results\experiments\hybridzip-r2-forced-oracle-current-320dd1b-stored"
