"file","scope_kib","input_bytes","input_sha256","forced_mode_count","oracle_complete_archive_bytes","tied_winner_count","tied_winner_modes","codec_sha256"
"dickens","32","32768","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","43","9598","1","paq8px-detected-sse","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F"
"mozilla","32","32768","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","43","6256","1","paq8px-detected-sse","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F"
"mr","32","32768","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A","43","5167","1","paq8px-generic-sse","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F"
"nci","32","32768","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79","43","1341","1","paq8px-detected-sse","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F"
"ooffice","32","32768","2ACF9B4CAAEAC5814CDFEF0FA48A5ECE857C847DBDB7B44EEAB95CA3C098921C","43","8097","1","paq8px-generic-sse","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F"
"osdb","32","32768","03B2C20B777682CD960BCD893D7A4463161D9C0200FD1708B2EFAE32A259D0B7","43","11420","1","paq8px-generic-sse","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F"
"reymont","32","32768","9D5E4B9340C2260DAE7DDB01B3EDA58236FF2DE5E1FF4D56767AA840B6FB1A87","43","5679","1","paq8px-detected-sse","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F"
"samba","32","32768","9C4F5BEE544E4531E4946E62F796987418B4526911C34877EF282F14DD57AD12","43","7956","1","paq8px-generic-sse","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F"
"sao","32","32768","95677430CAD4F000506BC5EE22815C3F4E13D64B477ED506B78D5D9ACFB50CCD","43","18805","1","paq8px-generic-sse","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F"
"webster","32","32768","774D224695AF4057353F72602BB96CD2AFEEA059AC7737535645F11596FCA85E","43","9258","1","paq8px-detected-sse","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F"
"x-ray","32","32768","10511AA63DFBD9C0DDBFEFE36068740103D4BA1116E214154A0772057D7E9314","43","14702","1","paq8px-generic-sse","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F"
"xml","32","32768","C2F7F129956F8D6FC3D0E3595D93F98D5270B6F5BC4AB5E70F45867822EFDD71","43","1441","1","paq8px-generic-sse","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F"
