"policy","block_size_kib","file","scope_kib","input_sha256","candidate_modes","oracle_complete_archive_bytes","tied_winner_modes","contains_tied_oracle_winner","tie_aware_winner_recall_available","shortlist_complete_archive_bytes","regret_vs_forced_oracle_bytes","ranker_version","ranker_crc32","ranker_sha256"
"auto-k2","32","dickens","32","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","0:1,36:1","9598","paq8px-detected-sse","False","True","9688","90","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
"auto-k2","32","mozilla","32","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","0:1,36:1","6256","paq8px-detected-sse","False","True","6285","29","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
"auto-k2","32","mr","32","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A","0:1,36:1","5167","paq8px-generic-sse","True","True","5167","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
"auto-k2","32","nci","32","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79","0:1,36:1","1341","paq8px-detected-sse","False","True","1369","28","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
"auto-k2","32","ooffice","32","2ACF9B4CAAEAC5814CDFEF0FA48A5ECE857C847DBDB7B44EEAB95CA3C098921C","0:1,36:1","8097","paq8px-generic-sse","True","True","8097","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
"auto-k2","32","osdb","32","03B2C20B777682CD960BCD893D7A4463161D9C0200FD1708B2EFAE32A259D0B7","0:1,36:1","11420","paq8px-generic-sse","True","True","11420","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
"auto-k2","32","reymont","32","9D5E4B9340C2260DAE7DDB01B3EDA58236FF2DE5E1FF4D56767AA840B6FB1A87","0:1,36:1","5679","paq8px-detected-sse","False","True","5726","47","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
"auto-k2","32","samba","32","9C4F5BEE544E4531E4946E62F796987418B4526911C34877EF282F14DD57AD12","0:1,36:1","7956","paq8px-generic-sse","True","True","7956","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
"auto-k2","32","sao","32","95677430CAD4F000506BC5EE22815C3F4E13D64B477ED506B78D5D9ACFB50CCD","0:1,36:1","18805","paq8px-generic-sse","True","True","18805","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
"auto-k2","32","webster","32","774D224695AF4057353F72602BB96CD2AFEEA059AC7737535645F11596FCA85E","0:1,36:1","9258","paq8px-detected-sse","False","True","9355","97","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
"auto-k2","32","x-ray","32","10511AA63DFBD9C0DDBFEFE36068740103D4BA1116E214154A0772057D7E9314","0:1,36:1","14702","paq8px-generic-sse","True","True","14702","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
"auto-k2","32","xml","32","C2F7F129956F8D6FC3D0E3595D93F98D5270B6F5BC4AB5E70F45867822EFDD71","0:1,36:1","1441","paq8px-generic-sse","True","True","1441","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
"auto-k4","32","dickens","32","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","0:1,2:1,36:1,37:1","9598","paq8px-detected-sse","True","True","9598","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B"
