input_path	input_bytes	category	name	total_bits	bits_per_byte	best_fixed_regret_bits	oracle_gap_bits	value	unit
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	expert	ngram	97450.672003798361	2.9739584962096668	9519.8767545602459	27049.415270192665	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	expert	ppmd	87930.795249238116	2.683434913612003	0	17529.538515632419	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	expert	match	236150.92604345983	7.2067543348223824	148220.13079422171	165749.66930985413	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	expert	lstm	116389.29726722019	3.5519194722662411	28458.502017982071	45988.04053361449	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	ngram-only	97450.672003798361	2.9739584962096668	9519.8767545602459	27049.415270192665	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	ppmd-only	87930.795249238116	2.683434913612003	0	17529.538515632419	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	match-only	236150.92604345983	7.2067543348223824	148220.13079422171	165749.66930985413	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	lstm-only	116389.29726722019	3.5519194722662411	28458.502017982071	45988.04053361449	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	ngram+ppmd	89260.993183332132	2.7240293329874308	1330.1979340940161	18859.736449726435	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	ppmd+match	111709.27996265539	3.4090966785478329	23778.484713417274	41308.023229049693	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	ppmd+lstm	90856.903486368246	2.7727326503408278	2926.1082371301309	20455.64675276255	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	match+lstm	133160.84028017861	4.0637463464409977	45230.045030940499	62759.583546572918	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	leave-ngram-out	104667.09396358754	3.1941862171504987	16736.298714349425	34265.837229981844	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	leave-ppmd-out	111236.23712445534	3.3946605567765911	23305.441875217221	40834.98039084964	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	leave-match-out	91041.119641258323	2.7783544812395728	3110.3243920202076	20639.862907652627	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	leave-lstm-out	102562.58210888557	3.1299616122096428	14631.786859647458	32161.325375279877	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	equal-mixture	100494.64642948592	3.0668532235560888	12563.851180247802	30093.389695880222	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	v1-current-mixer	87933.376931947205	2.6835137003157716	2.5816827090893639	17532.120198341509	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	causal-hedge	87933.376931947205	2.6835137003157716	2.5816827090893639	17532.120198341509	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	variant	multi-timescale-hedge	87521.064632116861	2.6709309274938007	-409.73061712125491	17119.807898511164	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	coding	v1-quantized-cdf	87933.466295152117	2.683516427464359	2.6710459140012972	17532.20956154642	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	oracle	oracle-byte	70401.256733605696	2.1484758524659942	-17529.538515632419	0	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	oracle	oracle-region-256	87919.16614121171	2.6830800213992831	-11.629108026405447	17517.909407606014	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	oracle	oracle-block-4096	87930.795249238538	2.6834349136120159	4.220055416226387e-10	17529.538515632841	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	oracle	best-fixed-expert	87930.795249238116	2.683434913612003	0	17529.538515632419	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	diagnostic	ngram-average-entropy	NA	NA	NA	NA	3.1752563157903007	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	diagnostic	ppmd-average-entropy	NA	NA	NA	NA	2.6178619932891158	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	diagnostic	match-average-entropy	NA	NA	NA	NA	7.1465831215453264	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	diagnostic	lstm-average-entropy	NA	NA	NA	NA	3.6477994046414208	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	diagnostic	average-jensen-shannon-disagreement	NA	NA	NA	NA	0.72238093394253056	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\dickens.bin	32768	diagnostic	average-ppmd-context-depth	NA	NA	NA	NA	5.15216064453125	bytes
