input_path	input_bytes	category	name	total_bits	bits_per_byte	best_fixed_regret_bits	oracle_gap_bits	value	unit
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	expert	ngram	98916.010072404577	3.0186770651978936	23503.362340895896	43518.696648915728	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	expert	ppmd	75412.647731508681	2.3014113687594202	0	20015.334308019832	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	expert	match	183336.03311396908	5.5949717136831385	107923.3853824604	127938.71969048024	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	expert	lstm	89065.41299512345	2.7180606993140701	13652.765263614769	33668.099571634601	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	ngram-only	98916.010072404577	3.0186770651978936	23503.362340895896	43518.696648915728	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	ppmd-only	75412.647731508681	2.3014113687594202	0	20015.334308019832	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	match-only	183336.03311396908	5.5949717136831385	107923.3853824604	127938.71969048024	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	lstm-only	89065.41299512345	2.7180606993140701	13652.765263614769	33668.099571634601	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	ngram+ppmd	78955.718829067264	2.4095373177815937	3543.0710975585826	23558.405405578415	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	ppmd+match	89350.078763589583	2.7267480091427485	13937.431032080902	33952.765340100734	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	ppmd+lstm	72824.86334759208	2.2224384566525903	-2587.7843839166017	17427.54992410323	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	match+lstm	96579.497720261614	2.9473723669513432	21166.849988752932	41182.184296772764	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	leave-ngram-out	80864.76144134911	2.4677966748458591	5452.1137098404288	25467.448017860261	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	leave-ppmd-out	86038.43227010686	2.6256845785555072	10625.784538598178	30641.11884661801	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	leave-match-out	74960.737072153992	2.2876201499070432	-451.91065935468941	19563.423648665143	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	leave-lstm-out	84990.226989111019	2.593695892001679	9577.5792576023377	29592.91356562217	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	equal-mixture	79780.989084478832	2.434722567275355	4368.3413529701502	24383.675660989982	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	v1-current-mixer	75415.488626551349	2.3014980659958297	2.8408950426673982	20018.175203062499	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	causal-hedge	75415.488626551363	2.3014980659958302	2.8408950426819501	20018.175203062514	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	variant	multi-timescale-hedge	71815.663622847569	2.1916401252089712	-3596.9841086611123	16418.35019935872	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	coding	v1-quantized-cdf	75415.53533337971	2.3014994913751132	2.8876018710288918	20018.221909890861	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	oracle	oracle-byte	55397.313423488849	1.6905918403164322	-20015.334308019832	0	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	oracle	oracle-region-256	72638.327890591681	2.2167458462704981	-2774.319840917	17241.014467102832	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	oracle	oracle-block-4096	75290.002432464767	2.2976685312641836	-122.64529904391384	19892.689008975918	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	oracle	best-fixed-expert	75412.647731508681	2.3014113687594202	0	20015.334308019832	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	diagnostic	ngram-average-entropy	NA	NA	NA	NA	2.2963808897260618	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	diagnostic	ppmd-average-entropy	NA	NA	NA	NA	2.5111158699141303	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	diagnostic	match-average-entropy	NA	NA	NA	NA	5.693072423251424	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	diagnostic	lstm-average-entropy	NA	NA	NA	NA	2.8697713705001386	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	diagnostic	average-jensen-shannon-disagreement	NA	NA	NA	NA	0.54699590120961483	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	diagnostic	average-ppmd-context-depth	NA	NA	NA	NA	6.373504638671875	bytes
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mozilla.bin	32768	diagnostic	maximum-ppmd-context-depth	NA	NA	NA	NA	12	bytes
