input_path	input_bytes	category	name	total_bits	bits_per_byte	best_fixed_regret_bits	oracle_gap_bits	value	unit
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mr.bin	32768	expert	ngram	57253.07174475379	1.7472250898667538	5680.3859587933111	17634.373138233634	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mr.bin	32768	expert	ppmd	51572.685785960479	1.5738734675891259	0	11953.987179440323	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mr.bin	32768	expert	match	148322.85285771789	4.5264542498082854	96750.167071757416	108704.15425119773	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mr.bin	32768	expert	lstm	55303.620842611264	1.6877325696597676	3730.9350566507856	15684.922236091108	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mr.bin	32768	variant	ngram-only	57253.07174475379	1.7472250898667538	5680.3859587933111	17634.373138233634	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mr.bin	32768	variant	ppmd-only	51572.685785960479	1.5738734675891259	0	11953.987179440323	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mr.bin	32768	variant	match-only	148322.85285771789	4.5264542498082854	96750.167071757416	108704.15425119773	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mr.bin	32768	variant	lstm-only	55303.620842611264	1.6877325696597676	3730.9350566507856	15684.922236091108	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mr.bin	32768	variant	ngram+ppmd	51927.297493116486	1.584695358066299	354.61170715600747	12308.59888659633	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mr.bin	32768	variant	ppmd+match	65738.351946793118	2.0061752913450048	14165.666160832639	26119.653340272962	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\mr.bin	32768	variant	ppmd+lstm	49609.095263833791	1.5139494404246152	-1963.5905221266876	9990.3966573136349	NA	bits
