input_path	input_bytes	category	name	total_bits	bits_per_byte	best_fixed_regret_bits	oracle_gap_bits	value	unit
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	expert	ngram	29542.455387280777	0.90156419028566825	9878.5591689996763	16727.60450890725	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	expert	ppmd	19663.896218281101	0.60009448908328555	0	6849.0453399075723	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	expert	match	68634.923430508818	2.0945716378939458	48971.027212227717	55820.072552135287	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	expert	lstm	35777.225489166121	1.0918342739613685	16113.32927088502	22962.374610792591	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	ngram-only	29542.455387280777	0.90156419028566825	9878.5591689996763	16727.60450890725	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	ppmd-only	19663.896218281101	0.60009448908328555	0	6849.0453399075723	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	match-only	68634.923430508818	2.0945716378939458	48971.027212227717	55820.072552135287	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	lstm-only	35777.225489166121	1.0918342739613685	16113.32927088502	22962.374610792591	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	ngram+ppmd	22804.731439499112	0.69594517332455785	3140.8352212180107	9989.880561125583	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	ppmd+match	26015.692913967276	0.79393594097800524	6351.7966956861746	13200.842035593747	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	ppmd+lstm	22258.515185925942	0.67927597613299384	2594.6189676448412	9443.6643075524134	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	match+lstm	32787.44936618425	1.0005935475520096	13123.553147903149	19972.598487810719	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	leave-ngram-out	24796.789218574613	0.75673795222700846	5132.8930002935122	11981.938340201084	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	leave-ppmd-out	28511.779037007549	0.87011044424461514	8847.882818726448	15696.92815863402	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	leave-match-out	23496.576961815223	0.7170586231022712	3832.6807435341216	10681.726083441694	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	leave-lstm-out	25400.844693225801	0.77517226236651005	5736.9484749447001	12585.993814852272	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	equal-mixture	24889.141800702084	0.75955632936712902	5225.2455824209828	12074.290922328555	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	v1-current-mixer	19666.204956810616	0.60016494619173022	2.3087385295148124	6851.3540784370871	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	causal-hedge	19666.204956810616	0.60016494619173022	2.3087385295148124	6851.3540784370871	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	variant	multi-timescale-hedge	19349.341084346528	0.59049502820881739	-314.55513393457295	6534.4902059729993	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	coding	v1-quantized-cdf	19666.45055916423	0.60017244138074433	2.5543408831290435	6851.5996807907013	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	oracle	oracle-byte	12814.850878373529	0.39107821284098904	-6849.0453399075723	0	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	oracle	oracle-region-256	19414.742223352638	0.59249091257790032	-249.15399492846336	6599.8913449791089	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	oracle	oracle-block-4096	19663.89621828137	0.60009448908329377	2.6921043172478676e-10	6849.0453399078415	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\nci.bin	32768	oracle	best-fixed-expert	19663.896218281101	0.60009448908328555	0	6849.0453399075723	NA	bits
