input_path	input_bytes	category	name	total_bits	bits_per_byte	best_fixed_regret_bits	oracle_gap_bits	value	unit
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	expert	ngram	120682.30639213898	3.6829317136272883	21547.778462483242	46478.551963308753	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	expert	ppmd	99134.527929655742	3.0253457009782636	0	24930.773500825511	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	expert	match	202413.44163307146	6.1771680185873858	103278.91370341572	128209.68720424123	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	expert	lstm	111241.44398455363	3.3948194575364266	12106.916054897883	37037.689555723395	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	ngram-only	120682.30639213898	3.6829317136272883	21547.778462483242	46478.551963308753	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	ppmd-only	99134.527929655742	3.0253457009782636	0	24930.773500825511	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	match-only	202413.44163307146	6.1771680185873858	103278.91370341572	128209.68720424123	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	lstm-only	111241.44398455363	3.3948194575364266	12106.916054897883	37037.689555723395	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	ngram+ppmd	103588.63073375651	3.1612741312791903	4454.1028041007667	29384.876304926278	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	ppmd+match	112441.08570635041	3.4314296175033694	13306.557776694666	38237.331277520178	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	ppmd+lstm	93956.558972893137	2.8673266288114361	-5177.9689567626046	19752.804544062907	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	match+lstm	119427.77775098792	3.6446465378109107	20293.249821332181	45224.023322157693	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	leave-ngram-out	102250.31707210001	3.1204320395538332	3115.7891424442641	28046.562643269775	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	leave-ppmd-out	108140.85557998136	3.3001970086664234	9006.3276503256202	33937.101151151131	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	leave-match-out	96839.663531273109	2.9553119974143405	-2294.8643983826332	22635.909102442878	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	leave-lstm-out	109054.76631361622	3.3280873508794011	9920.2383839604736	34851.011884785985	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	equal-mixture	101764.66982777734	3.1056112618340252	2630.1418981215975	27560.915398947109	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	v1-current-mixer	99137.213054695661	3.0254276444914447	2.6851250399195123	24933.458625865431	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	causal-hedge	99137.213054695632	3.0254276444914439	2.6851250398904085	24933.458625865402	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	variant	multi-timescale-hedge	94103.023206984639	2.8717963625178418	-5031.5047226711031	19899.268778154408	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	coding	v1-quantized-cdf	99137.139525166407	3.0254254005482912	2.6115955106652109	24933.385096336177	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	oracle	oracle-byte	74203.754428830231	2.2645188729501413	-24930.773500825511	0	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	oracle	oracle-region-256	95572.951412434049	2.9166550113657852	-3561.5765172216925	21369.196983603819	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	oracle	oracle-block-4096	97747.01246753108	2.9830020894632288	-1387.515462124662	23543.258038700849	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	oracle	best-fixed-expert	99134.527929655742	3.0253457009782636	0	24930.773500825511	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	diagnostic	ngram-average-entropy	NA	NA	NA	NA	2.9873319830002081	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	diagnostic	ppmd-average-entropy	NA	NA	NA	NA	3.0841753420568434	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	diagnostic	match-average-entropy	NA	NA	NA	NA	6.2412844475106626	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	diagnostic	lstm-average-entropy	NA	NA	NA	NA	3.5813973386582592	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	diagnostic	average-jensen-shannon-disagreement	NA	NA	NA	NA	0.57099745457844131	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	diagnostic	average-ppmd-context-depth	NA	NA	NA	NA	5.33868408203125	bytes
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	diagnostic	maximum-ppmd-context-depth	NA	NA	NA	NA	12	bytes
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	diagnostic	match-candidates-per-byte	NA	NA	NA	NA	0.293914794921875	candidates-per-byte
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	diagnostic	match-active-fraction	NA	NA	NA	NA	0.286529541015625	fraction
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\ooffice.bin	32768	diagnostic	match-average-best-length	NA	NA	NA	NA	27.754425048828125	bytes
