input_path	input_bytes	category	name	total_bits	bits_per_byte	best_fixed_regret_bits	oracle_gap_bits	value	unit
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	expert	ngram	142522.66592790175	4.3494465920380172	31573.110608919698	51189.833024584819	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	expert	ppmd	110949.55531898205	3.385911722381044	0	19616.722415665121	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	expert	match	193988.2381799506	5.9200512139877501	83038.682860968547	102655.40527663367	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	expert	lstm	178696.38383086122	5.453380854213294	67746.828511879168	87363.550927544289	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	variant	ngram-only	142522.66592790175	4.3494465920380172	31573.110608919698	51189.833024584819	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	variant	ppmd-only	110949.55531898205	3.385911722381044	0	19616.722415665121	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	variant	match-only	193988.2381799506	5.9200512139877501	83038.682860968547	102655.40527663367	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	variant	lstm-only	178696.38383086122	5.453380854213294	67746.828511879168	87363.550927544289	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	variant	ngram+ppmd	119224.23513251221	3.6384349100498112	8274.6798135301651	27891.402229195286	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	variant	ppmd+match	121744.56778568939	3.7153493586941342	10795.01246670734	30411.734882372461	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	variant	ppmd+lstm	117490.00340816804	3.5855103579152843	6540.4480891859857	26157.170504851107	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	variant	match+lstm	154949.66654369212	4.7286885541898229	44000.111224710068	63616.833640375189	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	variant	leave-ngram-out	122274.49909517996	3.7315215788323961	11324.943776197906	30941.666191863027	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	variant	leave-ppmd-out	136503.5657692028	4.1657582327027223	25554.010450220754	45170.732865885875	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	variant	leave-match-out	121256.1964618049	3.7004454486634795	10306.641142822846	29923.363558487967	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\osdb.bin	32768	variant	leave-lstm-out	122343.8869400996	3.7336391278106569	11394.331621117555	31011.054036782676	NA	bits
