input_path	input_bytes	category	name	total_bits	bits_per_byte	best_fixed_regret_bits	oracle_gap_bits	value	unit
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	expert	ngram	68561.844380699025	2.0923414422820747	10939.441626154985	26880.047310467344	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	expert	ppmd	57622.40275454404	1.758496177812013	0	15940.605684312359	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	expert	match	193393.53391798856	5.9019022802120533	135771.13116344452	151711.7368477569	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	expert	lstm	84691.021900100372	2.584564877322399	27068.619145556331	43009.22482986869	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	ngram-only	68561.844380699025	2.0923414422820747	10939.441626154985	26880.047310467344	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	ppmd-only	57622.40275454404	1.758496177812013	0	15940.605684312359	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	match-only	193393.53391798856	5.9019022802120533	135771.13116344452	151711.7368477569	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	lstm-only	84691.021900100372	2.584564877322399	27068.619145556331	43009.22482986869	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	ngram+ppmd	60038.277508053274	1.8322228243424461	2415.8747535092334	18356.480437821592	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	ppmd+match	77811.428805909076	2.3746163576022057	20189.026051365036	36129.631735677394	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	ppmd+lstm	59529.093942141088	1.8166837750897549	1906.6911875970472	17847.296871909406	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	match+lstm	90147.696981679357	2.7510893854272265	32525.294227135317	48465.899911447676	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	leave-ngram-out	70144.15070713569	2.1406295992167874	12521.74795259165	28462.353636904008	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	leave-ppmd-out	75471.051386899591	2.3031937068755979	17848.648632355551	33789.25431666791	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	leave-match-out	60443.792568604156	1.8445981618836718	2821.3898140601159	18761.995498372475	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	leave-lstm-out	70813.733726469072	2.1610636513204673	13191.330971925032	29131.936656237391	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	equal-mixture	67585.873013492426	2.0625571598355843	9963.4702589483859	25904.075943260745	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	v1-current-mixer	57625.206174167055	1.7585817313893755	2.8034196230146335	15943.409103935373	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	causal-hedge	57625.20617416707	1.7585817313893759	2.8034196230291855	15943.409103935388	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	variant	multi-timescale-hedge	56392.861563344537	1.7209735584516765	-1229.5411911995034	14711.064493112855	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	coding	v1-quantized-cdf	57625.610572359103	1.7585940726427949	3.2078178150622989	15943.813502127421	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	oracle	oracle-byte	41681.797070231682	1.2720274984811915	-15940.605684312359	0	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	oracle	oracle-region-256	57447.649564130625	1.7531631336709785	-174.75319041341572	15765.852493898943	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	oracle	oracle-block-4096	57622.4027545442	1.7584961778120178	1.6007106751203537e-10	15940.605684312519	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\reymont.bin	32768	oracle	best-fixed-expert	57622.40275454404	1.758496177812013	0	15940.605684312359	NA	bits
