input_path	input_bytes	category	name	total_bits	bits_per_byte	best_fixed_regret_bits	oracle_gap_bits	value	unit
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	expert	ngram	87037.026942798198	2.6561592694945739	13345.89659010894	28712.130099577596	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	expert	ppmd	73691.130352689259	2.2488748276577533	0	15366.233509468657	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	expert	match	198442.60001843193	6.0559875493906228	124751.46966574267	140117.70317521133	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	expert	lstm	112339.02534035212	3.4283149823105505	38647.894987662861	54014.128497131518	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	ngram-only	87037.026942798198	2.6561592694945739	13345.89659010894	28712.130099577596	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	ppmd-only	73691.130352689259	2.2488748276577533	0	15366.233509468657	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	match-only	198442.60001843193	6.0559875493906228	124751.46966574267	140117.70317521133	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	lstm-only	112339.02534035212	3.4283149823105505	38647.894987662861	54014.128497131518	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	ngram+ppmd	76478.293965855584	2.3339323109697139	2787.1636131663254	18153.397122634982	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	ppmd+match	93066.802451962838	2.8401734146717175	19375.672099273579	34741.905608742236	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	ppmd+lstm	79347.440464624087	2.4214917133979519	5656.3101119348285	21022.543621403485	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	match+lstm	119906.39429329343	3.6592527555326364	46215.263940604171	61581.497450072828	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	leave-ngram-out	90073.704321625861	2.7488313086433673	16382.573968936602	31748.807478405259	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	leave-ppmd-out	97989.454407595782	2.9904008303099299	24298.324054906523	39664.55756437518	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	leave-match-out	79567.645439899381	2.4282118359344294	5876.5150872101221	21242.748596678779	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	leave-lstm-out	86752.371620523409	2.647472278458356	13061.24126783415	28427.474777302807	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	equal-mixture	86714.206969765073	2.6463075857472251	13023.076617075814	28389.310126544471	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	v1-current-mixer	73693.731489397062	2.2489542080504474	2.6011367078026524	15368.83464617646	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	causal-hedge	73693.731489397076	2.2489542080504479	2.6011367078172043	15368.834646176474	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	variant	multi-timescale-hedge	73544.856133630339	2.2444108927499493	-146.2742190589197	15219.959290409737	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	coding	v1-quantized-cdf	73692.893486717192	2.2489286342381956	1.7631340279331198	15367.99664349659	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	oracle	oracle-byte	58324.896843220602	1.7799345960455506	-15366.233509468657	0	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	oracle	oracle-region-256	73685.574694019466	2.248705282410262	-5.555658669793047	15360.677850798864	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	oracle	oracle-block-4096	73691.13035268875	2.2488748276577377	-5.0931703299283981e-10	15366.233509468148	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	oracle	best-fixed-expert	73691.130352689259	2.2488748276577533	0	15366.233509468657	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	diagnostic	ngram-average-entropy	NA	NA	NA	NA	2.7254171472468975	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	diagnostic	ppmd-average-entropy	NA	NA	NA	NA	2.1903916272423563	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	diagnostic	match-average-entropy	NA	NA	NA	NA	6.1599222478748681	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	diagnostic	lstm-average-entropy	NA	NA	NA	NA	3.5070851637665363	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	diagnostic	average-jensen-shannon-disagreement	NA	NA	NA	NA	0.67021045225578213	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	diagnostic	average-ppmd-context-depth	NA	NA	NA	NA	6.295074462890625	bytes
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	diagnostic	maximum-ppmd-context-depth	NA	NA	NA	NA	12	bytes
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	diagnostic	match-candidates-per-byte	NA	NA	NA	NA	0.34222412109375	candidates-per-byte
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	diagnostic	match-active-fraction	NA	NA	NA	NA	0.334625244140625	fraction
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\samba.bin	32768	diagnostic	match-average-best-length	NA	NA	NA	NA	13.7933349609375	bytes
