input_path	input_bytes	category	name	total_bits	bits_per_byte	best_fixed_regret_bits	oracle_gap_bits	value	unit
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\sao.bin	32768	expert	ngram	199922.29340208741	6.1011442078273745	16096.088056474429	48481.374089074903	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\sao.bin	32768	expert	ppmd	183826.20534561298	5.6099305830570367	0	32385.286032600474	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\sao.bin	32768	expert	match	260550.2939803084	7.9513639520357788	76724.088634695421	109109.3746672959	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\sao.bin	32768	expert	lstm	190050.76961805069	5.7998892095352383	6224.5642724377103	38609.850305038184	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\sao.bin	32768	variant	ngram-only	199922.29340208741	6.1011442078273745	16096.088056474429	48481.374089074903	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\sao.bin	32768	variant	ppmd-only	183826.20534561298	5.6099305830570367	0	32385.286032600474	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\sao.bin	32768	variant	match-only	260550.2939803084	7.9513639520357788	76724.088634695421	109109.3746672959	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\sao.bin	32768	variant	lstm-only	190050.76961805069	5.7998892095352383	6224.5642724377103	38609.850305038184	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\sao.bin	32768	variant	ngram+ppmd	187151.92985596153	5.7114236406238259	3325.7245103485475	35711.010542949021	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\sao.bin	32768	variant	ppmd+match	189687.89907661613	5.7888152794377481	5861.6937310031499	38246.979763603624	NA	bits
