input_path	input_bytes	category	name	total_bits	bits_per_byte	best_fixed_regret_bits	oracle_gap_bits	value	unit
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	expert	ngram	99614.037080979964	3.039979158965453	13162.070131249333	31429.745812066249	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	expert	ppmd	86451.966949730631	2.6383046554483225	0	18267.675680816916	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	expert	match	219087.00982432827	6.6860049384865805	132635.04287459765	150902.71855541455	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	expert	lstm	116529.15558825551	3.5561876095048679	30077.18863852488	48344.864319341796	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	ngram-only	99614.037080979964	3.039979158965453	13162.070131249333	31429.745812066249	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	ppmd-only	86451.966949730631	2.6383046554483225	0	18267.675680816916	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	match-only	219087.00982432827	6.6860049384865805	132635.04287459765	150902.71855541455	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	lstm-only	116529.15558825551	3.5561876095048679	30077.18863852488	48344.864319341796	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	ngram+ppmd	89003.288541782968	2.716164811455779	2551.3215920523362	20818.997272869252	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	ppmd+match	107325.75342730315	3.2753220650422104	20873.786477572517	39141.462158389433	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	ppmd+lstm	89051.159576413222	2.7176257194950324	2599.1926266825903	20866.868307499506	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	match+lstm	128739.32710125158	3.9288124725723748	42287.360151520945	60555.03583233786	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	leave-ngram-out	101073.95506276224	3.0845323200305859	14621.988113031606	32889.663793848522	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	leave-ppmd-out	108404.74735749367	3.3082503466032005	21952.780407763043	40220.456088579958	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	leave-match-out	89907.139245870989	2.7437481459311215	3455.1722961403575	21722.847976957273	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	leave-lstm-out	100151.49774840224	3.0563811568726269	13699.530798671607	31967.206479488523	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	equal-mixture	97912.424095177077	2.9880500517326989	11460.457145446446	29728.132826263361	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	v1-current-mixer	86454.937445473115	2.6383953077842137	2.970495742483763	18270.646176559399	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	causal-hedge	86454.937445473115	2.6383953077842137	2.970495742483763	18270.646176559399	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	variant	multi-timescale-hedge	85889.004912291217	2.621124417489356	-562.96203743941442	17704.713643377501	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	coding	v1-quantized-cdf	86454.866271320934	2.6383931357214641	2.8993215903028613	18270.575002407219	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	oracle	oracle-byte	68184.291268913716	2.0808194356968297	-18267.675680816916	0	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	oracle	oracle-region-256	86451.966949730413	2.6383046554483158	-2.1827872842550278e-10	18267.675680816697	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	oracle	oracle-block-4096	86451.96694973034	2.6383046554483136	-2.9103830456733704e-10	18267.675680816625	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	oracle	best-fixed-expert	86451.966949730631	2.6383046554483225	0	18267.675680816916	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	diagnostic	ngram-average-entropy	NA	NA	NA	NA	3.1922129532898564	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	diagnostic	ppmd-average-entropy	NA	NA	NA	NA	2.5788958314370358	bits-per-symbol
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\webster.bin	32768	diagnostic	match-average-entropy	NA	NA	NA	NA	6.7248701240060376	bits-per-symbol
