input_path	input_bytes	category	name	total_bits	bits_per_byte	best_fixed_regret_bits	oracle_gap_bits	value	unit
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	expert	ngram	184275.16945289171	5.6236318802762364	35814.170795024082	57514.341635594043	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	expert	ppmd	156267.1123289174	4.7688938088658874	7806.1136710497667	29506.284511619728	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	expert	match	261504.07910983075	7.9804711642404405	113043.08045196312	134743.25129253307	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	expert	lstm	148460.99865786763	4.5306701250569956	0	21700.170840569961	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	ngram-only	184275.16945289171	5.6236318802762364	35814.170795024082	57514.341635594043	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	ppmd-only	156267.1123289174	4.7688938088658874	7806.1136710497667	29506.284511619728	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	match-only	261504.07910983075	7.9804711642404405	113043.08045196312	134743.25129253307	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	lstm-only	148460.99865786763	4.5306701250569956	0	21700.170840569961	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	ngram+ppmd	163192.59647179826	4.9802428122497027	14731.597813930624	36431.768654500585	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	ppmd+match	167862.62055817674	5.1227606371513899	19401.62190030911	41101.792740879071	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	ppmd+lstm	144764.15296479635	4.4178513478026229	-3696.8456930712855	18003.325147498676	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	match+lstm	161350.18765511404	4.9240169572483534	12889.188997246412	34589.359837816373	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	leave-ngram-out	153036.75971388884	4.6703112705654553	4575.7610560212051	26275.931896591166	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	leave-ppmd-out	161057.45868215192	4.9150835779465307	12596.460024284286	34296.630864854247	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	leave-match-out	150400.4086454545	4.5898562208695832	1939.4099875868706	23639.580828156832	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	leave-lstm-out	168749.71672722706	5.1498326637947711	20288.718069359427	41988.888909929388	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	equal-mixture	155716.47671238045	4.7520897434198135	7255.478054512816	28955.648895082777	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	v1-current-mixer	148459.96566570655	4.5306386006380173	-1.0329921610828023	21699.137848408878	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	causal-hedge	148459.96566570655	4.5306386006380173	-1.0329921610828023	21699.137848408878	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	variant	multi-timescale-hedge	144818.51658642516	4.4195103938728382	-3642.4820714424714	18057.68876912749	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	coding	v1-quantized-cdf	148460.12955792059	4.5306436022314633	-0.86909994704183191	21699.301740622919	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	oracle	oracle-byte	126760.82781729767	3.8684334661040549	-21700.170840569961	0	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	oracle	oracle-region-256	145054.94420616314	4.4267255922290998	-3406.0544517044909	18294.11638886547	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\x-ray.bin	32768	oracle	oracle-block-4096	148219.6667249093	4.5233052589388825	-241.33193295833189	21458.838907611629	NA	bits
