input_path	input_bytes	category	name	total_bits	bits_per_byte	best_fixed_regret_bits	oracle_gap_bits	value	unit
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\xml.bin	32768	expert	ngram	33784.077435464424	1.0310082225178352	15460.075338606228	19559.101464108895	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\xml.bin	32768	expert	ppmd	18324.002096858196	0.55920416555353381	0	4099.0261255026671	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\xml.bin	32768	expert	match	76164.157797503824	2.3243456359101509	57840.155700645628	61939.181826148299	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\xml.bin	32768	expert	lstm	51868.995592838328	1.5829161252697244	33544.993495980132	37644.019621482803	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\xml.bin	32768	variant	ngram-only	33784.077435464424	1.0310082225178352	15460.075338606228	19559.101464108895	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\xml.bin	32768	variant	ppmd-only	18324.002096858196	0.55920416555353381	0	4099.0261255026671	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\xml.bin	32768	variant	match-only	76164.157797503824	2.3243456359101509	57840.155700645628	61939.181826148299	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\xml.bin	32768	variant	lstm-only	51868.995592838328	1.5829161252697244	33544.993495980132	37644.019621482803	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\xml.bin	32768	variant	ngram+ppmd	23782.364545624459	0.72578016801832457	5458.3624487662637	9557.3885742689308	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\xml.bin	32768	variant	ppmd+match	26897.959142869295	0.82086056954557174	8573.957046011099	12672.983171513766	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\xml.bin	32768	variant	ppmd+lstm	25319.483755678342	0.77268932359858222	6995.4816588201465	11094.507784322814	NA	bits
E:\MIXER\hybridzip\results\experiments\hybridzip-r2-auto-silesia-32k-20260821-d3\inputs\32KiB\xml.bin	32768	variant	match+lstm	40627.379204891244	1.2398492188992689	22303.377108033048	26402.403233535715	NA	bits
