"mode"	"variant"	"file"	"scope_kib"	"input_bytes"	"archive_bytes"	"ratio"	"bpb"	"encode_seconds"	"decode_seconds"	"peak_ram_mib"	"roundtrip"	"codec_sha256"
"auto"	"r2-auto"	"dickens"	"32"	"32768"	"10890"	"0.33233642578125"	"2.65869140625"	"82.344316"	"0.064316"	"130.125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"auto"	"r2-auto"	"mozilla"	"32"	"32768"	"8601"	"0.262481689453125"	"2.099853515625"	"85.9712811"	"0.0535489"	"130.2890625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"auto"	"r2-auto"	"mr"	"32"	"32768"	"6507"	"0.198577880859375"	"1.588623046875"	"36.4463507"	"18.2822529"	"130.32421875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"auto"	"r2-auto"	"nci"	"32"	"32768"	"2366"	"0.07220458984375"	"0.57763671875"	"82.7875756"	"0.04492"	"130.28515625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"auto"	"r2-auto"	"ooffice"	"32"	"32768"	"11362"	"0.34674072265625"	"2.77392578125"	"37.6216284"	"0.0627316"	"130.21484375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"auto"	"r2-auto"	"osdb"	"32"	"32768"	"13929"	"0.425079345703125"	"3.400634765625"	"89.479976"	"18.9412448"	"130.2421875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"auto"	"r2-auto"	"reymont"	"32"	"32768"	"7263"	"0.221649169921875"	"1.773193359375"	"85.5847187"	"18.2316827"	"130.08984375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"auto"	"r2-auto"	"samba"	"32"	"32768"	"9020"	"0.2752685546875"	"2.2021484375"	"86.2535205"	"0.0686055"	"130.171875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"auto"	"r2-auto"	"sao"	"32"	"32768"	"21710"	"0.66253662109375"	"5.30029296875"	"90.6125671"	"16.5224207"	"130.140625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"auto"	"r2-auto"	"webster"	"32"	"32768"	"10867"	"0.331634521484375"	"2.653076171875"	"84.4904435"	"18.468988"	"130.13671875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"auto"	"r2-auto"	"x-ray"	"32"	"32768"	"17930"	"0.54718017578125"	"4.37744140625"	"37.1621776"	"0.038989"	"130.36328125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"auto"	"r2-auto"	"xml"	"32"	"32768"	"2351"	"0.071746826171875"	"0.573974609375"	"84.1820944"	"18.2889245"	"130.30078125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"stored"	"r2-stored"	"dickens"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0893667"	"0.0925527"	"3.9765625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"stored"	"r2-stored"	"mozilla"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0686584"	"0.0658514"	"2.83984375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"stored"	"r2-stored"	"mr"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.068227"	"0.0832544"	"2.484375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"stored"	"r2-stored"	"nci"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0553976"	"0.0490618"	"3.29296875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"stored"	"r2-stored"	"ooffice"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0602749"	"0.0496531"	"2.67578125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"stored"	"r2-stored"	"osdb"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.053881"	"0.0506862"	"3.76953125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"stored"	"r2-stored"	"reymont"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0506714"	"0.0524782"	"3.35546875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"stored"	"r2-stored"	"samba"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0694574"	"0.0523472"	"3.92578125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"stored"	"r2-stored"	"sao"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0537627"	"0.0520389"	"2.66796875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"stored"	"r2-stored"	"webster"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0630932"	"0.0487046"	"2.43359375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"stored"	"r2-stored"	"x-ray"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0434919"	"0.050733"	"3.9140625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"stored"	"r2-stored"	"xml"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0535929"	"0.0501969"	"2.5859375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"predictive"	"r2-predictive"	"dickens"	"32"	"32768"	"11052"	"0.3372802734375"	"2.6982421875"	"18.331979"	"28.6201338"	"129.7734375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"predictive"	"r2-predictive"	"mozilla"	"32"	"32768"	"9487"	"0.289520263671875"	"2.316162109375"	"30.0661067"	"29.7750963"	"129.51953125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"predictive"	"r2-predictive"	"mr"	"32"	"32768"	"6507"	"0.198577880859375"	"1.588623046875"	"28.3001729"	"25.8253856"	"129.51953125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"predictive"	"r2-predictive"	"nci"	"32"	"32768"	"2519"	"0.076873779296875"	"0.614990234375"	"18.5714982"	"18.1617746"	"129.5078125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"predictive"	"r2-predictive"	"ooffice"	"32"	"32768"	"12453"	"0.380035400390625"	"3.040283203125"	"19.0230726"	"18.5926158"	"129.4296875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"predictive"	"r2-predictive"	"osdb"	"32"	"32768"	"13929"	"0.425079345703125"	"3.400634765625"	"18.775382"	"18.6554069"	"129.87890625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"predictive"	"r2-predictive"	"reymont"	"32"	"32768"	"7263"	"0.221649169921875"	"1.773193359375"	"18.2751963"	"18.2907414"	"129.52734375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"predictive"	"r2-predictive"	"samba"	"32"	"32768"	"9272"	"0.282958984375"	"2.263671875"	"18.08221"	"18.2924387"	"129.8828125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"predictive"	"r2-predictive"	"sao"	"32"	"32768"	"23038"	"0.70306396484375"	"5.62451171875"	"18.3092971"	"18.2263131"	"129.875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"predictive"	"r2-predictive"	"webster"	"32"	"32768"	"10867"	"0.331634521484375"	"2.653076171875"	"18.2258908"	"18.0583216"	"129.52734375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"predictive"	"r2-predictive"	"x-ray"	"32"	"32768"	"18618"	"0.56817626953125"	"4.54541015625"	"18.3091322"	"18.4800254"	"129.8828125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"predictive"	"r2-predictive"	"xml"	"32"	"32768"	"2351"	"0.071746826171875"	"0.573974609375"	"17.9073862"	"17.8206691"	"129.50390625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"zstd"	"r2-zstd"	"dickens"	"32"	"32768"	"13216"	"0.4033203125"	"3.2265625"	"0.0747297"	"0.043948"	"4.48828125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"zstd"	"r2-zstd"	"mozilla"	"32"	"32768"	"9548"	"0.2913818359375"	"2.3310546875"	"0.0881951"	"0.051675"	"4.5703125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"zstd"	"r2-zstd"	"mr"	"32"	"32768"	"7957"	"0.242828369140625"	"1.942626953125"	"0.0612524"	"0.0503713"	"4.515625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"zstd"	"r2-zstd"	"nci"	"32"	"32768"	"2480"	"0.07568359375"	"0.60546875"	"0.0654486"	"0.0456895"	"4.69921875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"zstd"	"r2-zstd"	"ooffice"	"32"	"32768"	"13019"	"0.397308349609375"	"3.178466796875"	"0.0688613"	"0.049576"	"4.578125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"zstd"	"r2-zstd"	"osdb"	"32"	"32768"	"15144"	"0.462158203125"	"3.697265625"	"0.0573831"	"0.046718"	"2.65625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"zstd"	"r2-zstd"	"reymont"	"32"	"32768"	"9108"	"0.2779541015625"	"2.2236328125"	"0.0565929"	"0.0500747"	"4.66015625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"zstd"	"r2-zstd"	"samba"	"32"	"32768"	"11027"	"0.336517333984375"	"2.692138671875"	"0.0615449"	"0.0637159"	"3.72265625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"zstd"	"r2-zstd"	"sao"	"32"	"32768"	"24423"	"0.745330810546875"	"5.962646484375"	"0.0539655"	"0.0677837"	"4.4609375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"zstd"	"r2-zstd"	"webster"	"32"	"32768"	"12772"	"0.3897705078125"	"3.1181640625"	"0.0643294"	"0.0515937"	"4.52734375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"zstd"	"r2-zstd"	"x-ray"	"32"	"32768"	"22464"	"0.685546875"	"5.484375"	"0.0519305"	"0.0518663"	"4.6875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"zstd"	"r2-zstd"	"xml"	"32"	"32768"	"2713"	"0.082794189453125"	"0.662353515625"	"0.0709317"	"0.0498576"	"4.4453125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"fse"	"r2-fse"	"dickens"	"32"	"32768"	"19344"	"0.59033203125"	"4.72265625"	"0.0897902"	"0.0925629"	"3.640625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"fse"	"r2-fse"	"mozilla"	"32"	"32768"	"21274"	"0.64923095703125"	"5.19384765625"	"0.0707228"	"0.0637325"	"2.00390625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"fse"	"r2-fse"	"mr"	"32"	"32768"	"12118"	"0.36981201171875"	"2.95849609375"	"0.0469299"	"0.0620453"	"2.00390625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"fse"	"r2-fse"	"nci"	"32"	"32768"	"10000"	"0.30517578125"	"2.44140625"	"0.0558702"	"0.052459"	"4.30859375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"fse"	"r2-fse"	"ooffice"	"32"	"32768"	"25182"	"0.76849365234375"	"6.14794921875"	"0.0479643"	"0.0458922"	"2.67578125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"fse"	"r2-fse"	"osdb"	"32"	"32768"	"27311"	"0.833465576171875"	"6.667724609375"	"0.0534801"	"0.0510889"	"2.92578125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"fse"	"r2-fse"	"reymont"	"32"	"32768"	"20364"	"0.6214599609375"	"4.9716796875"	"0.0546404"	"0.045284"	"2.74609375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"fse"	"r2-fse"	"samba"	"32"	"32768"	"19959"	"0.609100341796875"	"4.872802734375"	"0.0710999"	"0.0672651"	"4.296875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"fse"	"r2-fse"	"sao"	"32"	"32768"	"30507"	"0.930999755859375"	"7.447998046875"	"0.0480675"	"0.0455935"	"2.58203125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"fse"	"r2-fse"	"webster"	"32"	"32768"	"21014"	"0.64129638671875"	"5.13037109375"	"0.0667372"	"0.0487863"	"2.00390625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
