"file"	"winner"	"winner_archive_bytes"	"auto_archive_bytes"	"winner_bpb"	"auto_gap_bytes"
"dickens"	"auto"	"10890"	"10890"	"2.65869140625"	"0"
"mozilla"	"auto"	"8601"	"8601"	"2.099853515625"	"0"
"mr"	"lstm-compress"	"6266"	"6507"	"1.52978515625"	"241"
"nci"	"auto"	"2366"	"2366"	"0.57763671875"	"0"
"ooffice"	"auto"	"11362"	"11362"	"2.77392578125"	"0"
"osdb"	"auto"	"13929"	"13929"	"3.400634765625"	"0"
"reymont"	"auto"	"7263"	"7263"	"1.773193359375"	"0"
"samba"	"auto"	"9020"	"9020"	"2.2021484375"	"0"
"sao"	"auto"	"21710"	"21710"	"5.30029296875"	"0"
"webster"	"auto"	"10867"	"10867"	"2.653076171875"	"0"
"x-ray"	"lstm-compress"	"16668"	"17930"	"4.0693359375"	"1262"
"xml"	"auto"	"2351"	"2351"	"0.573974609375"	"0"
