"mode"	"rows"	"pass"	"input_bytes"	"archive_bytes"	"ratio"	"bpb"	"encode_seconds"	"decode_seconds"	"peak_ram_mib"	"codec_hashes"
"auto"	"12"	"12"	"393216"	"122796"	"0.312286376953125"	"2.498291015625"	"882.9366495999999"	"109.06862459999999"	"130.36328125"	"1"
"bcj2-zstd"	"12"	"12"	"393216"	"143959"	"0.36610666910807294"	"2.9288533528645835"	"0.7958400999999998"	"0.7191764999999999"	"5.1953125"	"1"
"bitshuffle-zstd"	"12"	"12"	"393216"	"255337"	"0.6493555704752604"	"5.194844563802083"	"0.8974693"	"0.6490659999999999"	"4.6640625"	"1"
"brotli-text"	"12"	"12"	"393216"	"128974"	"0.3279978434244792"	"2.6239827473958335"	"1.1708604999999999"	"0.7403611000000001"	"6.54296875"	"1"
"bwt-mtf-zstd"	"12"	"12"	"393216"	"147588"	"0.375335693359375"	"3.002685546875"	"0.7286178"	"0.6553604000000001"	"4.76171875"	"1"
"bwt-rlt-zstd"	"12"	"12"	"393216"	"156142"	"0.3970896402994792"	"3.1767171223958335"	"0.6931129"	"0.6385217"	"4.66796875"	"1"
"bwt-zstd"	"12"	"12"	"393216"	"153068"	"0.3892720540364583"	"3.1141764322916665"	"0.7887358000000001"	"0.6192018999999999"	"4.76171875"	"1"
"cmix-word-zstd"	"12"	"12"	"393216"	"150572"	"0.3829243977864583"	"3.0633951822916665"	"1.0488904"	"0.8645956"	"8.5078125"	"1"
"delta-zstd"	"12"	"12"	"393216"	"165252"	"0.420257568359375"	"3.362060546875"	"0.9779845"	"0.6906051000000001"	"4.6328125"	"1"
"donor-match"	"12"	"12"	"393216"	"147229"	"0.37442270914713544"	"2.9953816731770835"	"227.5263337"	"226.7130282"	"129.90234375"	"1"
"fastpfor"	"12"	"12"	"393216"	"358024"	"0.9105021158854166"	"7.284016927083333"	"0.8345044000000001"	"0.6950835"	"4.06640625"	"1"
"flac-residual"	"12"	"12"	"393216"	"356741"	"0.9072392781575521"	"7.257914225260417"	"0.8908963000000002"	"0.6707912999999999"	"5.515625"	"1"
"fse"	"12"	"12"	"393216"	"255744"	"0.650390625"	"5.203125"	"0.7021788000000001"	"0.6723904999999999"	"4.30859375"	"1"
"jpegls"	"12"	"12"	"393216"	"322772"	"0.8208516438802084"	"6.566813151041667"	"0.7522126000000001"	"0.6888660999999999"	"5.01171875"	"1"
"lstm-compress"	"12"	"12"	"393216"	"143803"	"0.36570994059244794"	"2.9256795247395835"	"151.7773951"	"150.81446110000005"	"23.46484375"	"1"
"lzma"	"12"	"12"	"393216"	"133105"	"0.33850351969401044"	"2.7080281575520835"	"0.7701952999999999"	"0.6853968"	"4.82421875"	"1"
"neural-lstm"	"12"	"12"	"393216"	"162028"	"0.4120585123697917"	"3.2964680989583335"	"215.80192580000002"	"214.14901989999998"	"120.8125"	"1"
"predictive"	"12"	"12"	"393216"	"127356"	"0.323883056640625"	"2.591064453125"	"242.17732400000003"	"248.7989223"	"129.8828125"	"1"
"rans"	"12"	"12"	"393216"	"259307"	"0.6594518025716146"	"5.275614420572917"	"0.5651558999999999"	"0.4959394"	"4.01171875"	"1"
"record-transpose-zstd"	"12"	"12"	"393216"	"210187"	"0.5345331827799479"	"4.276265462239583"	"0.9130419"	"0.7175122999999999"	"4.625"	"1"
"shared-neural-lstm"	"12"	"12"	"393216"	"161041"	"0.40954844156901044"	"3.2763875325520835"	"214.4845519"	"216.2333056"	"120.80859375"	"1"
"shuffle-zstd"	"12"	"12"	"393216"	"166336"	"0.4230143229166667"	"3.3841145833333335"	"0.9458044"	"0.6492639"	"4.6796875"	"1"
"stored"	"12"	"12"	"393216"	"393936"	"1.0018310546875"	"8.0146484375"	"0.7298750999999999"	"0.6975584"	"3.9765625"	"1"
"x86-bcj-zstd"	"12"	"12"	"393216"	"142233"	"0.36171722412109375"	"2.89373779296875"	"0.7916051"	"0.6017693000000001"	"4.61328125"	"1"
"zstd"	"12"	"12"	"393216"	"143871"	"0.36588287353515625"	"2.92706298828125"	"0.7751650999999999"	"0.6228697000000001"	"4.69921875"	"1"
