"file"	"scope_kib"	"winner_modes"	"winner_archive_bytes"	"auto_archive_bytes"	"auto_gap_bytes"
"dickens"	"32"	"auto,cmix-word-zstd"	"10890"	"10890"	"0"
"mozilla"	"32"	"auto,lzma"	"8601"	"8601"	"0"
"mr"	"32"	"auto,lstm-compress"	"6266"	"6266"	"0"
"nci"	"32"	"auto,brotli-text"	"2366"	"2366"	"0"
"ooffice"	"32"	"auto,x86-bcj-zstd"	"11362"	"11362"	"0"
"osdb"	"32"	"auto,predictive"	"13929"	"13929"	"0"
"reymont"	"32"	"auto,predictive"	"7263"	"7263"	"0"
"samba"	"32"	"auto,cmix-word-zstd"	"9020"	"9020"	"0"
"sao"	"32"	"auto,lstm-compress"	"21710"	"21710"	"0"
"webster"	"32"	"auto,predictive"	"10867"	"10867"	"0"
"x-ray"	"32"	"auto,lstm-compress"	"16668"	"16668"	"0"
"xml"	"32"	"auto,predictive"	"2351"	"2351"	"0"
