"mode"	"rows"	"input_bytes"	"archive_bytes"	"ratio"	"bpb"	"encode_seconds"	"decode_seconds"	"peak_ram_mib"	"pass_rows"	"codec_sha256"
"auto"	"12"	"393216"	"121293"	"0.308464050292969"	"2.46771240234375"	"928.0321477"	"121.0590559"	"130.36328125"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"predictive"	"12"	"393216"	"127356"	"0.323883056640625"	"2.591064453125"	"224.2946804"	"225.0383904"	"129.88671875"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"lstm-compress"	"12"	"393216"	"143803"	"0.365709940592448"	"2.92567952473958"	"157.7026205"	"158.737096"	"23.4921875"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"stored"	"12"	"393216"	"393936"	"1.0018310546875"	"8.0146484375"	"0.5865617"	"0.4640374"	"3.96875"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"zstd"	"12"	"393216"	"143871"	"0.365882873535156"	"2.92706298828125"	"0.6299115"	"0.5048133"	"4.5078125"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"lzma"	"12"	"393216"	"133105"	"0.33850351969401"	"2.70802815755208"	"0.5994811"	"0.4863039"	"4.55078125"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"fse"	"12"	"393216"	"255744"	"0.650390625"	"5.203125"	"0.5863763"	"0.4600535"	"4.00390625"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"rans"	"12"	"393216"	"259307"	"0.659451802571615"	"5.27561442057292"	"0.5677758"	"0.4620224"	"4.00390625"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"donor-match"	"12"	"393216"	"147229"	"0.374422709147135"	"2.99538167317708"	"227.1764538"	"227.7868024"	"129.90625"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"bwt-zstd"	"12"	"393216"	"153068"	"0.389272054036458"	"3.11417643229167"	"0.6581111"	"0.5400957"	"4.6953125"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"bwt-mtf-zstd"	"12"	"393216"	"147588"	"0.375335693359375"	"3.002685546875"	"0.7058894"	"0.535755"	"4.6953125"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"bwt-rlt-zstd"	"12"	"393216"	"156142"	"0.397089640299479"	"3.17671712239583"	"0.6344328"	"0.4609234"	"4.66796875"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"x86-bcj-zstd"	"12"	"393216"	"142233"	"0.361717224121094"	"2.89373779296875"	"0.6310545"	"0.4830203"	"4.53125"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"shuffle-zstd"	"12"	"393216"	"166336"	"0.423014322916667"	"3.38411458333333"	"0.7125665"	"0.4965118"	"4.57421875"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"bitshuffle-zstd"	"12"	"393216"	"255337"	"0.64935557047526"	"5.19484456380208"	"0.6726825"	"0.4547839"	"4.55078125"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"delta-zstd"	"12"	"393216"	"165252"	"0.420257568359375"	"3.362060546875"	"0.801515"	"0.4592767"	"4.55859375"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"fastpfor"	"12"	"393216"	"358024"	"0.910502115885417"	"7.28401692708333"	"0.5602461"	"0.4625289"	"3.86328125"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"bcj2-zstd"	"12"	"393216"	"143959"	"0.366106669108073"	"2.92885335286458"	"0.5865055"	"0.485001"	"5.26171875"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"record-transpose-zstd"	"12"	"393216"	"210187"	"0.534533182779948"	"4.27626546223958"	"0.6305712"	"0.4885317"	"4.55078125"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"jpegls"	"12"	"393216"	"322772"	"0.820851643880208"	"6.56681315104167"	"0.6130654"	"0.5516826"	"3.71484375"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"flac-residual"	"12"	"393216"	"356741"	"0.907239278157552"	"7.25791422526042"	"0.7429532"	"0.5843631"	"4.53515625"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"brotli-text"	"12"	"393216"	"128974"	"0.327997843424479"	"2.62398274739583"	"0.9925357"	"0.5174851"	"6.48828125"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"cmix-word-zstd"	"12"	"393216"	"150572"	"0.382924397786458"	"3.06339518229167"	"0.8583448"	"0.6781618"	"7.85546875"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"neural-lstm"	"12"	"393216"	"162028"	"0.412058512369792"	"3.29646809895833"	"218.9040968"	"217.9721247"	"120.81640625"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
"shared-neural-lstm"	"12"	"393216"	"161041"	"0.40954844156901"	"3.27638753255208"	"219.4185802"	"218.846896"	"120.828125"	"12"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"
