"mode"	"variant"	"file"	"scope_kib"	"input_bytes"	"archive_bytes"	"ratio"	"bpb"	"encode_seconds"	"decode_seconds"	"peak_ram_mib"	"roundtrip"	"block_types"	"codec_sha256"	"package"
"donor-match"	"r2-donor-match"	"dickens"	"32"	"32768"	"12951"	"0.395233154296875"	"3.161865234375"	"18.7461375"	"18.748363"	"129.69140625"	"PASS"	"donor-match=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-donor-match-silesia-32k-20260821-d20"
"donor-match"	"r2-donor-match"	"mozilla"	"32"	"32768"	"10890"	"0.33233642578125"	"2.65869140625"	"19.2466285"	"19.1169812"	"129.42578125"	"PASS"	"donor-match=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-donor-match-silesia-32k-20260821-d20"
"donor-match"	"r2-donor-match"	"mr"	"32"	"32768"	"8474"	"0.25860595703125"	"2.06884765625"	"18.7997052"	"18.658515"	"129.78515625"	"PASS"	"donor-match=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-donor-match-silesia-32k-20260821-d20"
"donor-match"	"r2-donor-match"	"nci"	"32"	"32768"	"4879"	"0.148895263671875"	"1.191162109375"	"18.8076415"	"18.7980016"	"129.90234375"	"PASS"	"donor-match=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-donor-match-silesia-32k-20260821-d20"
"donor-match"	"r2-donor-match"	"ooffice"	"32"	"32768"	"13659"	"0.416839599609375"	"3.334716796875"	"19.1505859"	"19.1914537"	"129.6796875"	"PASS"	"donor-match=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-donor-match-silesia-32k-20260821-d20"
"donor-match"	"r2-donor-match"	"osdb"	"32"	"32768"	"15142"	"0.46209716796875"	"3.69677734375"	"19.2498716"	"19.3559463"	"129.88671875"	"PASS"	"donor-match=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-donor-match-silesia-32k-20260821-d20"
"donor-match"	"r2-donor-match"	"reymont"	"32"	"32768"	"9361"	"0.285675048828125"	"2.285400390625"	"18.7957794"	"18.8890258"	"129.54296875"	"PASS"	"donor-match=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-donor-match-silesia-32k-20260821-d22"
"donor-match"	"r2-donor-match"	"samba"	"32"	"32768"	"11173"	"0.340972900390625"	"2.727783203125"	"18.9147964"	"18.8253195"	"129.90625"	"PASS"	"donor-match=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-donor-match-silesia-32k-20260821-d22"
"donor-match"	"r2-donor-match"	"sao"	"32"	"32768"	"23756"	"0.7249755859375"	"5.7998046875"	"18.997368"	"19.2308701"	"129.90234375"	"PASS"	"donor-match=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-donor-match-silesia-32k-20260821-d22"
"donor-match"	"r2-donor-match"	"webster"	"32"	"32768"	"12539"	"0.382659912109375"	"3.061279296875"	"19.1251174"	"19.8316705"	"129.42578125"	"PASS"	"donor-match=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-donor-match-silesia-32k-20260821-d22"
"donor-match"	"r2-donor-match"	"x-ray"	"32"	"32768"	"19389"	"0.591705322265625"	"4.733642578125"	"18.9265538"	"18.8113347"	"129.90234375"	"PASS"	"donor-match=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-donor-match-silesia-32k-20260821-d22"
"donor-match"	"r2-donor-match"	"xml"	"32"	"32768"	"5016"	"0.153076171875"	"1.224609375"	"18.4162686"	"18.329321"	"129.90234375"	"PASS"	"donor-match=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-donor-match-silesia-32k-20260821-d22"
