"file"	"scope_kib"	"winner_modes"	"winner_archive_bytes"	"auto_archive_bytes"	"auto_gap_bytes"
"dickens"	"32"	"donor-match"	"12951"	""	""
"mozilla"	"32"	"donor-match"	"10890"	""	""
"mr"	"32"	"donor-match"	"8474"	""	""
"nci"	"32"	"donor-match"	"4879"	""	""
"ooffice"	"32"	"donor-match"	"13659"	""	""
"osdb"	"32"	"donor-match"	"15142"	""	""
"reymont"	"32"	"donor-match"	"9361"	""	""
"samba"	"32"	"donor-match"	"11173"	""	""
"sao"	"32"	"donor-match"	"23756"	""	""
"webster"	"32"	"donor-match"	"12539"	""	""
"x-ray"	"32"	"donor-match"	"19389"	""	""
"xml"	"32"	"donor-match"	"5016"	""	""
