"mode"	"input_bytes"	"archive_bytes"	"bpb"	"codec_sha256"	"input_sha256"	"decoded_sha256"	"evidence_path"	"evidence_mtime"
"23"	"1024"	"688"		""	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"E:\MIXER\hybridzip\results\smoke\r2-lstm-compress-donor-port-1k-20260826\verification.json"	"2026-08-26T04:16:30.5156968Z"
"30"	"1024"	"676"		""	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"E:\MIXER\hybridzip\results\smoke\r2-ctw-1k-20260821\verification.json"	"2026-08-21T05:10:36.9354094Z"
"31"	"1024"	"558"		""	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"E:\MIXER\hybridzip\results\smoke\r2-paq8px-apm-1k-20260821\verification.json"	"2026-08-21T05:47:19.1670648Z"
"32"	"1024"	"650"		""	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"E:\MIXER\hybridzip\results\smoke\r2-paq8px-record-model-1k-20260821\verification.json"	"2026-08-21T06:49:12.3300092Z"
"33"	"1024"	"893"		"9ADDF2B3B25BEDB410F5037F3FE7F64072B6437367D52199DAFAB5ED59C9F3E3"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"E:\MIXER\hybridzip\results\smoke\r2-paq8px-linear-prediction-1k-20260821\verification.json"	"2026-08-21T07:16:23.8001416Z"
"34"	"1024"	"705"		"8A64B0128D53592CAE667F9E215E45746BB44A062493E77665A2162AA3E77A00"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"E:\MIXER\hybridzip\results\smoke\r2-paq8px-similarity-1k-20260821\verification.json"	"2026-08-21T07:56:25.2987225Z"
"35"	"1024"	"652"		"69699B520166B29A2316512F013BA018AD6E63B2D5CEC74398B40C8E86B7E84B"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"E:\MIXER\hybridzip\results\smoke\r2-paq8px-similarity-sse-1k-20260821\verification.json"	"2026-08-21T08:23:48.3224117Z"
"39"	"1024"	"875"	"6.8359375"	"555FF1812B3183B2F239CC420572B65DD631362A5162080D7FD0B633138FEC71"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"E:\MIXER\hybridzip\results\smoke\r2-lz4-1k-20260821\verification.json"	"2026-08-21T10:34:19.9236161Z"
"40"	"1024"	"696"	"5.4375"	"FCB9E6CC78EA5B34169B0CFC019C03187376056EC157866158BA49E2398AE4CC"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"8F19FEF30022BEB9147C82EAF040F387BA833068944AD396B92787518A951B7A"	"E:\MIXER\hybridzip\results\smoke\r2-kanzi-ans-1k-20260826\verification.json"	"2026-08-26T07:50:50.9938565Z"
"41"	"1024"	"1768"	"13.8125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-1k-20260826\verification.json"	"2026-08-26T11:49:10.0212316Z"
"42"	"1024"	"1131"	"8.835938"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-1k-20260826\verification.json"	"2026-08-26T11:49:10.0212316Z"
