"mode"	"mode_name"	"input_bytes"	"archive_bytes"	"bpb"	"codec_sha256"	"input_sha256"	"decoded_sha256"	"evidence_path"	"evidence_mtime"
"0"	"Stored"	"1024"	"1084"	"8.46875"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-stored-mode0-1k-20260826-224341-parallel\verification.json"	"2026-08-26T14:43:43.3662423Z"
"1"	"PredictiveV1"	"1024"	"1085"	"8.4765625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-predictive-mode1-1k-20260826-224341-parallel\verification.json"	"2026-08-26T14:43:44.9135858Z"
"2"	"Zstd"	"1024"	"1098"	"8.578125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-zstd-mode2-1k-20260826-230041-parallel\verification.json"	"2026-08-26T15:00:44.0237716Z"
"3"	"Fse"	"1024"	"1085"	"8.4765625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-fse-mode3-1k-20260826-224341-parallel\verification.json"	"2026-08-26T14:43:43.1453955Z"
"4"	"Lzma"	"1024"	"1154"	"9.015625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-lzma-mode4-1k-20260826-224341-parallel\verification.json"	"2026-08-26T14:43:43.0219068Z"
"5"	"DonorMatchPredictive"	"1024"	"1085"	"8.4765625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-donor-match-mode5-1k-20260826-230041-parallel\verification.json"	"2026-08-26T15:00:43.8576702Z"
"6"	"BwtZstd"	"1024"	"1102"	"8.609375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-bwt-zstd-mode6-1k-20260826-224341-parallel\verification.json"	"2026-08-26T14:43:42.9146982Z"
"7"	"BwtMtfZstd"	"1024"	"1102"	"8.609375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-bwt-mtf-zstd-mode7-1k-20260826-224341-parallel\verification.json"	"2026-08-26T14:43:42.7644097Z"
"9"	"X86BcjZstd"	"1024"	"1098"	"8.578125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-x86-bcj-zstd-mode9-1k-20260826-224341-parallel\verification.json"	"2026-08-26T14:43:42.4984598Z"
"10"	"ShuffleZstd"	"1024"	"1099"	"8.5859375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-shuffle-zstd-mode10-1k-20260826-224341-parallel\verification.json"	"2026-08-26T14:43:42.4518217Z"
"11"	"BitshuffleZstd"	"1024"	"1099"	"8.5859375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-bitshuffle-zstd-mode11-1k-20260826-224341-parallel\verification.json"	"2026-08-26T14:43:42.5074631Z"
