"mode"	"mode_name"	"status"	"input_bytes"	"archive_bytes"	"bpb"	"codec_sha256"	"evidence_path"
"0"	"Stored"	"PASS"	"1024"	"1084"	"8.46875"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-stored-mode0-1k-20260826-224341-parallel\verification.json"
"1"	"PredictiveV1"	"PASS"	"1024"	"1085"	"8.4765625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-predictive-mode1-1k-20260826-224341-parallel\verification.json"
"2"	"Zstd"	"PASS"	"1024"	"1098"	"8.578125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-zstd-mode2-1k-20260826-230041-parallel\verification.json"
"3"	"Fse"	"PASS"	"1024"	"1085"	"8.4765625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-fse-mode3-1k-20260826-224341-parallel\verification.json"
"4"	"Lzma"	"PASS"	"1024"	"1154"	"9.015625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-lzma-mode4-1k-20260826-224341-parallel\verification.json"
"5"	"DonorMatchPredictive"	"PASS"	"1024"	"1085"	"8.4765625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-donor-match-mode5-1k-20260826-230041-parallel\verification.json"
"6"	"BwtZstd"	"PASS"	"1024"	"1102"	"8.609375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-bwt-zstd-mode6-1k-20260826-224341-parallel\verification.json"
"7"	"BwtMtfZstd"	"PASS"	"1024"	"1102"	"8.609375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-bwt-mtf-zstd-mode7-1k-20260826-224341-parallel\verification.json"
"8"	"BwtRltZstd"	"MISSING_CURRENT_HASH_EVIDENCE"	""	""	""	""	""
"9"	"X86BcjZstd"	"PASS"	"1024"	"1098"	"8.578125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-x86-bcj-zstd-mode9-1k-20260826-224341-parallel\verification.json"
"10"	"ShuffleZstd"	"PASS"	"1024"	"1099"	"8.5859375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-shuffle-zstd-mode10-1k-20260826-224341-parallel\verification.json"
"11"	"BitshuffleZstd"	"PASS"	"1024"	"1099"	"8.5859375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-bitshuffle-zstd-mode11-1k-20260826-224341-parallel\verification.json"
"12"	"DeltaZstd"	"PASS"	"1024"	"1099"	"8.5859375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-delta-zstd-1k-20260826\verification.json"
