"stage","block_size_kib","file","scope_kib","input_sha256","ranker_version","ranker_crc32","ranker_sha256","policy","reference_kind","full_auto_archive_bytes","shortlist_archive_bytes","regret_vs_full_auto_bytes","full_auto_selected_modes","shortlist_candidate_modes","full_auto_selected_mode_covered","tie_aware_winner_recall_available","candidates_evaluated","encode_seconds","decode_seconds","peak_ram_mib","roundtrip"
"e5-router","32","dickens","128","20E33FCC8FAA96DC32A2D0921115C0F363E64C598A5847CE1A3876E356D59872","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","37827","38197","370","paq8px-detected-sse=4","0:4,36:4","False","False","8","60.9891117","61.0345952","546.4296875","PASS"
"e5-router","32","dickens","128","20E33FCC8FAA96DC32A2D0921115C0F363E64C598A5847CE1A3876E356D59872","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","37827","37827","0","paq8px-detected-sse=4","0:4,2:4,36:4,37:4","True","False","16","90.4346709","30.2889478","546.41015625","PASS"
"e5-router","32","dickens","128","20E33FCC8FAA96DC32A2D0921115C0F363E64C598A5847CE1A3876E356D59872","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","37827","37827","0","paq8px-detected-sse=4","0:4,2:4,4:4,6:4,19:4,28:4,36:4,37:4","True","False","32","88.7009294","29.0238154","547.0625","PASS"
"e5-router","32","dickens","32","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","9598","9688","90","paq8px-detected-sse=1","0:1,36:1","False","False","2","15.733689","15.7032448","546.4140625","PASS"
"e5-router","32","dickens","32","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","9598","9598","0","paq8px-detected-sse=1","0:1,2:1,36:1,37:1","True","False","4","23.353993","7.876367","546.41015625","PASS"
"e5-router","32","dickens","32","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","9598","9598","0","paq8px-detected-sse=1","0:1,2:1,4:1,6:1,19:1,28:1,36:1,37:1","True","False","8","22.9052997","7.7041307","546.38671875","PASS"
"e5-router","32","dickens","64","134AD989A7B8B40C900A3B9C0F4895317DFD827D9E6E933895B08D2F4A8A8293","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","19066","19246","180","paq8px-detected-sse=2","0:2,36:2","False","False","4","30.7312086","30.7871474","546.38671875","PASS"
"e5-router","32","dickens","64","134AD989A7B8B40C900A3B9C0F4895317DFD827D9E6E933895B08D2F4A8A8293","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","19066","19066","0","paq8px-detected-sse=2","0:2,2:2,36:2,37:2","True","False","8","45.9802455","15.2527337","546.39453125","PASS"
"e5-router","32","dickens","64","134AD989A7B8B40C900A3B9C0F4895317DFD827D9E6E933895B08D2F4A8A8293","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","19066","19066","0","paq8px-detected-sse=2","0:2,2:2,4:2,6:2,19:2,28:2,36:2,37:2","True","False","16","45.5138585","15.1796932","547.04296875","PASS"
"e5-router","32","mozilla","128","85CDBEA98382DB12E9A21FF90E1907452712D074000A6B855D2CA215FA591EB4","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","15881","15910","29","paq8px-generic-sse=3;paq8px-detected-sse=1","0:4,36:4","False","False","8","39.6903121","39.6133258","550.453125","PASS"
"e5-router","32","mozilla","128","85CDBEA98382DB12E9A21FF90E1907452712D074000A6B855D2CA215FA591EB4","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","15881","15881","0","paq8px-generic-sse=3;paq8px-detected-sse=1","0:4,2:4,36:4,37:4","True","False","16","79.6308678","39.7325688","734.06640625","PASS"
"e5-router","32","mozilla","128","85CDBEA98382DB12E9A21FF90E1907452712D074000A6B855D2CA215FA591EB4","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","15881","15881","0","paq8px-generic-sse=3;paq8px-detected-sse=1","0:4,2:4,3:4,4:4,10:4,12:4,36:4,37:4","True","False","32","76.9759997","40.1074945","734.08203125","PASS"
"e5-router","32","mozilla","32","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","6256","6285","29","paq8px-detected-sse=1","0:1,36:1","False","False","2","12.7501932","12.8142955","550.4765625","PASS"
"e5-router","32","mozilla","32","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","6256","6256","0","paq8px-detected-sse=1","0:1,2:1,36:1,37:1","True","False","4","24.9654086","12.3596759","734.078125","PASS"
