"stage","policy","block_size_kib","timing_repeat","warmup","fast_thread_count","telemetry_worker_count","candidates_evaluated","full_oracle_evaluated","ranker_version","ranker_crc32","ranker_sha256","candidate_modes","fast_block_latency_samples","fast_queue_plus_service_p50_ns","fast_queue_plus_service_p95_ns","fast_service_p50_ns","fast_service_p95_ns","fast_queue_plus_service_ns","fast_service_ns","experiment_id","variant","repeat","case_order","file","scope_kib","input_path","input_bytes","input_sha256","archive_path","archive_bytes","archive_sha256","decoded_path","decoded_bytes","decoded_sha256","encode_seconds","decode_seconds","encode_peak_ram_mib","decode_peak_ram_mib","peak_ram_mib","codec_sha256","parameters","encode_command","decode_command","encode_exit_code","decode_exit_code","started_at","status","roundtrip","block_types","notes"
"e6-fast","fast","32","0","True","1","1","4","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","0:1,39:1,43:2","1","6360500","6360500","6333300","6333300","6360500","6333300","hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0","r2-fast","1","1","dickens","32","inputs/32KiB/dickens.bin","32768","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","archives/32KiB/dickens.hz2","14204","84C64B0BA4703663A91F3B007AF2F41B20CFF55C0458B294CCA26DC7E6D92C03","decoded/32KiB/dickens.decoded","32768","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","0.0600508","0.0493696","5.171875","3.18359375","5.171875","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","profile_id=2;mode=fast;block_size=32768;zstd_level=3;lzma_level=9;threads=1;process_timeout_seconds=1800","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" c --profile=r2 --r2-mode=fast --block-size=32768 --zstd-level=3 --threads=1 ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\inputs\32KiB\dickens.bin"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\32KiB\dickens.hz2""","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" d ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\32KiB\dickens.hz2"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\decoded\32KiB\dickens.decoded""","0","0","2026-08-29T14:44:20.7842548+08:00","COMPLETE","PASS","fast-ext=1","Complete R2 archive size; SHA-256 byte-exact roundtrip verified."
"e6-fast","fast","32","0","True","1","1","8","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","0:2,39:2,43:4","2","5749200","11449500","5741900","5967800","5749200,11449500","5741900,5967800","hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0","r2-fast","1","2","dickens","64","inputs/64KiB/dickens.bin","65536","134AD989A7B8B40C900A3B9C0F4895317DFD827D9E6E933895B08D2F4A8A8293","archives/64KiB/dickens.hz2","28111","34E6A0BD4BC3DE883E685A21F7A2DE5E97D14CA78B66575DB7670E676C7FA5C9","decoded/64KiB/dickens.decoded","65536","134AD989A7B8B40C900A3B9C0F4895317DFD827D9E6E933895B08D2F4A8A8293","0.0600457","0.0479034","5.31640625","2.02734375","5.31640625","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","profile_id=2;mode=fast;block_size=32768;zstd_level=3;lzma_level=9;threads=1;process_timeout_seconds=1800","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" c --profile=r2 --r2-mode=fast --block-size=32768 --zstd-level=3 --threads=1 ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\inputs\64KiB\dickens.bin"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\64KiB\dickens.hz2""","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" d ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\64KiB\dickens.hz2"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\decoded\64KiB\dickens.decoded""","0","0","2026-08-29T14:44:21.0491440+08:00","COMPLETE","PASS","fast-ext=2","Complete R2 archive size; SHA-256 byte-exact roundtrip verified."
"e6-fast","fast","32","0","True","1","1","16","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","0:4,39:4,43:8","4","10887300","11130300","5606200","5791000","5561700,11130300,10997400,10887300","5541200,5791000,5661800,5606200","hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0","r2-fast","1","3","dickens","128","inputs/128KiB/dickens.bin","131072","20E33FCC8FAA96DC32A2D0921115C0F363E64C598A5847CE1A3876E356D59872","archives/128KiB/dickens.hz2","55704","2D712EDE702CB8C81F6189532D5D198512ECD2A0DCFB0E19BFBF935E5BE0EDA3","decoded/128KiB/dickens.decoded","131072","20E33FCC8FAA96DC32A2D0921115C0F363E64C598A5847CE1A3876E356D59872","0.0927717","0.0639062","5.33203125","2.02734375","5.33203125","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","profile_id=2;mode=fast;block_size=32768;zstd_level=3;lzma_level=9;threads=1;process_timeout_seconds=1800","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" c --profile=r2 --r2-mode=fast --block-size=32768 --zstd-level=3 --threads=1 ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\inputs\128KiB\dickens.bin"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\128KiB\dickens.hz2""","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" d ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\128KiB\dickens.hz2"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\decoded\128KiB\dickens.decoded""","0","0","2026-08-29T14:44:21.2299591+08:00","COMPLETE","PASS","fast-ext=4","Complete R2 archive size; SHA-256 byte-exact roundtrip verified."
"e6-fast","fast","32","0","True","1","1","4","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","0:1,39:1,43:2","1","7278600","7278600","7217700","7217700","7278600","7217700","hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0","r2-fast","1","4","mozilla","32","inputs/32KiB/mozilla.bin","32768","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","archives/32KiB/mozilla.hz2","11271","4CD226F53512BD2FDCC6A275218620CD82E584E48F1518CE021243B6B4F3F00E","decoded/32KiB/mozilla.decoded","32768","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","0.0579904","0.0637753","2.02734375","2.02734375","2.02734375","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","profile_id=2;mode=fast;block_size=32768;zstd_level=3;lzma_level=9;threads=1;process_timeout_seconds=1800","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" c --profile=r2 --r2-mode=fast --block-size=32768 --zstd-level=3 --threads=1 ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\inputs\32KiB\mozilla.bin"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\32KiB\mozilla.hz2""","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" d ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\32KiB\mozilla.hz2"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\decoded\32KiB\mozilla.decoded""","0","0","2026-08-29T14:44:21.4585075+08:00","COMPLETE","PASS","fast-ext=1","Complete R2 archive size; SHA-256 byte-exact roundtrip verified."
"e6-fast","fast","32","0","True","1","1","8","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","0:2,39:2,43:4","2","7604200","14007900","6696100","7594600","7604200,14007900","7594600,6696100","hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0","r2-fast","1","5","mozilla","64","inputs/64KiB/mozilla.bin","65536","B0050240663F54371D372303EEABA0A59AB0758BCD565F4F639D06561E6BC996","archives/64KiB/mozilla.hz2","18132","61FC418B7B61A467CC526681DA499F3383A5FC1E13D9BE62BC2D38B589090715","decoded/64KiB/mozilla.decoded","65536","B0050240663F54371D372303EEABA0A59AB0758BCD565F4F639D06561E6BC996","0.0854431","0.0628929","5.28125","2.02734375","5.28125","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","profile_id=2;mode=fast;block_size=32768;zstd_level=3;lzma_level=9;threads=1;process_timeout_seconds=1800","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" c --profile=r2 --r2-mode=fast --block-size=32768 --zstd-level=3 --threads=1 ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\inputs\64KiB\mozilla.bin"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\64KiB\mozilla.hz2""","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" d ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\64KiB\mozilla.hz2"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\decoded\64KiB\mozilla.decoded""","0","0","2026-08-29T14:44:21.6635182+08:00","COMPLETE","PASS","fast-ext=2","Complete R2 archive size; SHA-256 byte-exact roundtrip verified."
"e6-fast","fast","32","0","True","1","1","16","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","0:4,39:4,43:8","4","9439300","14163600","5720200","7478600","7618200,14163600,12106600,9439300","7478600,6812000,5720200,4031500","hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0","r2-fast","1","6","mozilla","128","inputs/128KiB/mozilla.bin","131072","85CDBEA98382DB12E9A21FF90E1907452712D074000A6B855D2CA215FA591EB4","archives/128KiB/mozilla.hz2","27190","EDDDC93BB254A54A1F030848D260325EC8333DD6EC6AFEBB986B9721F8DA1195","decoded/128KiB/mozilla.decoded","131072","85CDBEA98382DB12E9A21FF90E1907452712D074000A6B855D2CA215FA591EB4","0.0922498","0.0452513","5.32421875","2.02734375","5.32421875","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","profile_id=2;mode=fast;block_size=32768;zstd_level=3;lzma_level=9;threads=1;process_timeout_seconds=1800","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" c --profile=r2 --r2-mode=fast --block-size=32768 --zstd-level=3 --threads=1 ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\inputs\128KiB\mozilla.bin"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\128KiB\mozilla.hz2""","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" d ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\128KiB\mozilla.hz2"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\decoded\128KiB\mozilla.decoded""","0","0","2026-08-29T14:44:21.8863811+08:00","COMPLETE","PASS","fast-ext=4","Complete R2 archive size; SHA-256 byte-exact roundtrip verified."
"e6-fast","fast","32","0","True","1","1","4","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","0:1,39:1,43:2","1","8560400","8560400","8521000","8521000","8560400","8521000","hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0","r2-fast","1","7","mr","32","inputs/32KiB/mr.bin","32768","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A","archives/32KiB/mr.hz2","8048","1714DBB5BB3CCAA1E4937B66A0FCB3167C72C9249EFBC13D3504240A49B144C4","decoded/32KiB/mr.decoded","32768","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A","0.0664546","0.0450794","5.26171875","2.02734375","5.26171875","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","profile_id=2;mode=fast;block_size=32768;zstd_level=3;lzma_level=9;threads=1;process_timeout_seconds=1800","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" c --profile=r2 --r2-mode=fast --block-size=32768 --zstd-level=3 --threads=1 ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\inputs\32KiB\mr.bin"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\32KiB\mr.hz2""","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" d ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\32KiB\mr.hz2"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\decoded\32KiB\mr.decoded""","0","0","2026-08-29T14:44:22.0939637+08:00","COMPLETE","PASS","fast-ext=1","Complete R2 archive size; SHA-256 byte-exact roundtrip verified."
"e6-fast","fast","32","0","True","1","1","8","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","0:2,39:2,43:4","2","7663200","13956500","6549500","7611100","7663200,13956500","7611100,6549500","hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0","r2-fast","1","8","mr","64","inputs/64KiB/mr.bin","65536","CAB7B6408934009A4BBFEDB57BEB4943BF5478CF8B3688D01F004E0422EBC651","archives/64KiB/mr.hz2","14495","F1D6F80CD8AD1A917E0037C6BBED5E0FB6DC71BD73C0279166F5E166D834F75D","decoded/64KiB/mr.decoded","65536","CAB7B6408934009A4BBFEDB57BEB4943BF5478CF8B3688D01F004E0422EBC651","0.067055","0.0425262","5.30859375","2.02734375","5.30859375","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","profile_id=2;mode=fast;block_size=32768;zstd_level=3;lzma_level=9;threads=1;process_timeout_seconds=1800","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" c --profile=r2 --r2-mode=fast --block-size=32768 --zstd-level=3 --threads=1 ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\inputs\64KiB\mr.bin"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\64KiB\mr.hz2""","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" d ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\64KiB\mr.hz2"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\decoded\64KiB\mr.decoded""","0","0","2026-08-29T14:44:22.2763126+08:00","COMPLETE","PASS","fast-ext=2","Complete R2 archive size; SHA-256 byte-exact roundtrip verified."
"e6-fast","fast","32","0","True","1","1","16","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","0:4,39:4,43:8","4","12599200","13693200","6516300","7216700","7369100,13693200,12599200,12668000","7216700,6559700,6516300,6495400","hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0","r2-fast","1","9","mr","128","inputs/128KiB/mr.bin","131072","473A6A883480C7B2E69402AD888AC07B347C2DF61C6AA0D84E8B8130A27792EA","archives/128KiB/mr.hz2","27367","CD5FE03FC2013EE6EA4B5FBB9F678A54A41EA2D5B4586F984A29DACD35ADF5F0","decoded/128KiB/mr.decoded","131072","473A6A883480C7B2E69402AD888AC07B347C2DF61C6AA0D84E8B8130A27792EA","0.0953975","0.0543679","5.3359375","4.51953125","5.3359375","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","profile_id=2;mode=fast;block_size=32768;zstd_level=3;lzma_level=9;threads=1;process_timeout_seconds=1800","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" c --profile=r2 --r2-mode=fast --block-size=32768 --zstd-level=3 --threads=1 ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\inputs\128KiB\mr.bin"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\128KiB\mr.hz2""","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" d ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\128KiB\mr.hz2"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\decoded\128KiB\mr.decoded""","0","0","2026-08-29T14:44:22.4624922+08:00","COMPLETE","PASS","fast-ext=4","Complete R2 archive size; SHA-256 byte-exact roundtrip verified."
"e6-fast","fast","32","0","True","1","1","4","0","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","0:1,39:1,43:2","1","5371700","5371700","5165000","5165000","5371700","5165000","hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0","r2-fast","1","10","nci","32","inputs/32KiB/nci.bin","32768","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79","archives/32KiB/nci.hz2","3101","28193260A90B6B6FAF022C847A0041E7E8C07C9E3C51D35E365A2456E9FBF756","decoded/32KiB/nci.decoded","32768","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79","0.0540368","0.0456454","4.3828125","2.02734375","4.3828125","74FF260A939B01673667723D8351AAEDB679339610009ECB23C70E373B862D9F","profile_id=2;mode=fast;block_size=32768;zstd_level=3;lzma_level=9;threads=1;process_timeout_seconds=1800","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" c --profile=r2 --r2-mode=fast --block-size=32768 --zstd-level=3 --threads=1 ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\inputs\32KiB\nci.bin"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\32KiB\nci.hz2""","""E:\MIXER\hybridzip\build\Release\hybridzip.exe"" d ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\archives\32KiB\nci.hz2"" ""E:\MIXER\hybridzip\results\experiments\hybridzip-r2-e6-fast-k4-full-20260829-w1\children\hybridzip-r2-e6-fast-k4-full-20260829-w1-fast-b32-r0\decoded\32KiB\nci.decoded""","0","0","2026-08-29T14:44:22.6909665+08:00","COMPLETE","PASS","fast-ext=1","Complete R2 archive size; SHA-256 byte-exact roundtrip verified."
